epoch,train_acc,test_acc
0,7.133333333333333,7.666666666666666
1,11.200000000000001,13.333333333333334
2,14.000000000000002,14.333333333333334
3,15.6,16.333333333333332
4,17.533333333333335,16.0
5,18.0,17.333333333333336
6,18.333333333333332,17.333333333333336
7,18.73333333333333,16.666666666666664
8,19.133333333333333,17.333333333333336
9,19.666666666666664,17.333333333333336
10,19.6,18.0
11,19.733333333333334,17.666666666666668
12,20.200000000000003,18.333333333333332
13,20.333333333333332,18.333333333333332
14,20.266666666666666,18.0
15,20.4,18.0
16,20.533333333333335,18.666666666666668
17,20.533333333333335,18.333333333333332
18,20.733333333333334,18.333333333333332
19,20.933333333333334,18.666666666666668
20,21.266666666666666,18.666666666666668
21,21.6,18.666666666666668
22,21.73333333333333,19.0
23,21.8,19.333333333333332
24,21.8,19.333333333333332
25,21.8,19.666666666666664
26,21.8,19.333333333333332
27,21.8,19.666666666666664
28,21.73333333333333,19.666666666666664
29,21.73333333333333,20.0
30,21.73333333333333,20.0
31,21.8,20.0
32,21.73333333333333,20.333333333333332
33,21.866666666666667,20.333333333333332
34,22.0,20.333333333333332
35,22.133333333333333,20.333333333333332
36,22.133333333333333,20.0
37,22.066666666666666,19.666666666666664
38,22.2,20.0
39,22.26666666666667,19.666666666666664
40,22.26666666666667,20.0
41,22.26666666666667,20.0
42,22.333333333333332,20.0
43,22.333333333333332,19.666666666666664
44,22.26666666666667,20.0
45,22.400000000000002,20.0
46,22.333333333333332,19.666666666666664
47,22.26666666666667,19.666666666666664
48,22.26666666666667,19.666666666666664
49,22.26666666666667,20.0
