epoch,train_acc,test_acc
0,8.466666666666667,7.000000000000001
1,30.266666666666666,22.666666666666664
2,34.2,26.0
3,37.6,28.000000000000004
4,38.46666666666667,29.666666666666668
5,39.93333333333333,30.666666666666664
6,41.4,29.666666666666668
7,42.13333333333333,30.0
8,43.13333333333333,30.333333333333336
9,43.8,30.333333333333336
10,43.86666666666667,30.0
11,44.333333333333336,30.666666666666664
12,45.13333333333333,30.333333333333336
13,45.86666666666667,29.666666666666668
14,46.6,30.0
15,47.06666666666667,30.333333333333336
16,47.733333333333334,29.666666666666668
17,48.4,29.666666666666668
18,48.733333333333334,29.333333333333332
19,49.13333333333333,29.333333333333332
20,49.666666666666664,29.333333333333332
21,49.733333333333334,30.0
22,50.4,30.0
23,51.06666666666667,29.666666666666668
24,51.33333333333333,30.0
25,51.6,30.333333333333336
26,52.06666666666667,30.333333333333336
27,52.400000000000006,30.333333333333336
28,52.93333333333333,31.0
29,53.13333333333333,31.666666666666664
30,53.46666666666666,32.0
31,53.800000000000004,32.0
32,54.2,32.0
33,54.13333333333333,31.666666666666664
34,54.400000000000006,31.666666666666664
35,54.46666666666666,32.0
36,54.666666666666664,32.0
37,54.800000000000004,31.666666666666664
38,55.266666666666666,31.666666666666664
39,55.333333333333336,31.666666666666664
40,55.333333333333336,31.666666666666664
41,55.53333333333333,31.666666666666664
42,55.60000000000001,31.666666666666664
43,55.666666666666664,31.666666666666664
44,55.733333333333334,31.666666666666664
45,55.86666666666667,31.666666666666664
46,55.93333333333334,31.333333333333336
47,56.00000000000001,31.333333333333336
48,56.13333333333333,31.333333333333336
49,56.39999999999999,31.666666666666664
