epoch,train_acc,test_acc
0,8.666666666666668,6.666666666666667
1,58.86666666666667,29.666666666666668
2,65.4,30.666666666666664
3,69.46666666666667,29.666666666666668
4,72.06666666666666,29.666666666666668
5,73.73333333333333,29.666666666666668
6,74.6,29.333333333333332
7,76.53333333333333,29.333333333333332
8,77.4,29.666666666666668
9,78.06666666666666,30.333333333333336
10,78.86666666666666,30.0
11,79.26666666666667,30.333333333333336
12,79.73333333333333,30.0
13,80.26666666666667,29.666666666666668
14,80.80000000000001,29.666666666666668
15,81.39999999999999,28.999999999999996
16,81.66666666666667,28.666666666666668
17,81.73333333333333,28.999999999999996
18,82.13333333333334,28.999999999999996
19,82.33333333333334,28.999999999999996
20,82.46666666666667,28.666666666666668
21,82.93333333333334,28.999999999999996
22,83.13333333333334,28.999999999999996
23,83.46666666666667,28.666666666666668
24,83.53333333333333,28.666666666666668
25,83.6,28.666666666666668
26,84.13333333333334,28.666666666666668
27,84.2,28.333333333333332
28,84.39999999999999,28.333333333333332
29,84.6,28.000000000000004
30,84.8,28.000000000000004
31,84.93333333333334,28.000000000000004
32,85.06666666666666,28.000000000000004
33,85.2,28.000000000000004
34,85.26666666666667,27.666666666666668
35,85.33333333333334,27.666666666666668
36,85.39999999999999,27.666666666666668
37,85.33333333333334,27.666666666666668
38,85.39999999999999,27.666666666666668
39,85.46666666666667,27.666666666666668
40,85.39999999999999,27.666666666666668
41,85.73333333333333,27.666666666666668
42,85.8,27.666666666666668
43,85.73333333333333,27.666666666666668
44,86.0,27.333333333333332
45,85.86666666666667,27.333333333333332
46,86.06666666666666,27.333333333333332
47,86.06666666666666,27.333333333333332
48,86.06666666666666,27.333333333333332
49,86.13333333333333,27.333333333333332
