epoch,train_acc,test_acc
0,4.866666666666666,5.333333333333334
1,43.733333333333334,43.333333333333336
2,47.0,45.666666666666664
3,47.0,46.0
4,47.199999999999996,46.666666666666664
5,46.93333333333333,46.666666666666664
6,46.733333333333334,46.33333333333333
7,47.13333333333333,47.0
8,47.86666666666667,46.666666666666664
9,48.333333333333336,47.0
10,48.266666666666666,47.333333333333336
11,48.733333333333334,47.0
12,48.86666666666667,47.0
13,49.266666666666666,47.0
14,49.733333333333334,47.333333333333336
15,49.8,47.333333333333336
16,50.2,47.333333333333336
17,50.4,47.333333333333336
18,50.6,47.66666666666667
19,50.66666666666667,47.66666666666667
20,50.8,48.0
21,50.93333333333333,48.0
22,50.866666666666674,48.333333333333336
23,51.0,48.66666666666667
24,51.13333333333333,48.0
25,51.06666666666667,48.0
26,51.2,48.66666666666667
27,51.13333333333333,48.66666666666667
28,51.13333333333333,48.66666666666667
29,51.26666666666667,48.333333333333336
30,51.33333333333333,48.333333333333336
31,51.53333333333333,48.0
32,51.66666666666667,48.333333333333336
33,51.800000000000004,48.333333333333336
34,51.800000000000004,48.333333333333336
35,51.800000000000004,48.333333333333336
36,51.866666666666674,48.333333333333336
37,51.866666666666674,48.333333333333336
38,52.0,49.0
39,52.26666666666666,49.0
40,52.53333333333333,49.0
41,52.6,49.0
42,52.6,49.0
43,52.666666666666664,49.0
44,52.733333333333334,49.0
45,52.800000000000004,49.0
46,52.800000000000004,49.333333333333336
47,52.800000000000004,49.666666666666664
48,52.800000000000004,49.666666666666664
49,52.86666666666666,49.666666666666664
