epoch,train_acc,test_acc
0,6.666666666666667,4.0
1,49.8,25.0
2,55.266666666666666,23.0
3,58.333333333333336,23.666666666666668
4,60.53333333333333,23.666666666666668
5,62.06666666666667,22.666666666666664
6,63.6,21.666666666666668
7,64.86666666666666,21.333333333333336
8,66.26666666666667,21.333333333333336
9,66.46666666666667,22.0
10,67.0,22.333333333333332
11,67.53333333333333,22.333333333333332
12,68.33333333333333,22.333333333333332
13,68.53333333333333,22.666666666666664
14,68.93333333333334,22.333333333333332
15,69.46666666666667,22.333333333333332
16,69.66666666666667,21.666666666666668
17,70.0,21.333333333333336
18,70.33333333333334,21.333333333333336
19,70.66666666666667,21.666666666666668
20,70.8,21.0
21,71.06666666666666,21.0
22,71.13333333333334,21.0
23,71.33333333333334,20.666666666666668
24,71.53333333333333,20.666666666666668
25,71.66666666666667,20.666666666666668
26,71.93333333333334,20.333333333333332
27,72.26666666666667,20.333333333333332
28,72.53333333333333,20.666666666666668
29,72.6,20.333333333333332
30,72.53333333333333,20.666666666666668
31,72.6,20.0
32,72.86666666666667,20.0
33,72.86666666666667,20.0
34,73.0,20.0
35,73.0,20.0
36,73.2,20.0
37,73.13333333333333,20.0
38,73.2,20.0
39,73.33333333333333,20.0
40,73.33333333333333,20.0
41,73.46666666666667,20.0
42,73.73333333333333,20.0
43,73.6,20.333333333333332
44,73.8,20.333333333333332
45,73.6,20.0
46,73.6,20.0
47,73.73333333333333,20.333333333333332
48,73.66666666666667,20.0
49,73.8,20.333333333333332
