epoch,train_acc,test_acc
0,5.866666666666666,7.000000000000001
1,29.4,27.333333333333332
2,33.93333333333333,29.666666666666668
3,36.199999999999996,31.0
4,38.800000000000004,30.333333333333336
5,40.33333333333333,31.0
6,40.86666666666667,31.666666666666664
7,41.4,30.0
8,42.266666666666666,30.666666666666664
9,43.0,30.0
10,43.53333333333333,29.666666666666668
11,43.93333333333334,30.0
12,44.46666666666667,30.666666666666664
13,44.93333333333333,30.333333333333336
14,45.06666666666666,30.666666666666664
15,45.13333333333333,31.0
16,45.6,30.666666666666664
17,46.13333333333333,30.666666666666664
18,46.53333333333333,30.333333333333336
19,46.800000000000004,30.333333333333336
20,46.93333333333333,29.666666666666668
21,47.4,29.666666666666668
22,47.86666666666667,29.666666666666668
23,47.93333333333333,30.333333333333336
24,48.46666666666667,30.333333333333336
25,48.86666666666667,30.333333333333336
26,49.0,30.333333333333336
27,49.4,29.666666666666668
28,49.46666666666666,29.666666666666668
29,49.333333333333336,29.666666666666668
30,49.733333333333334,29.666666666666668
31,49.8,30.0
32,49.93333333333334,30.333333333333336
33,50.06666666666667,30.333333333333336
34,50.13333333333333,30.333333333333336
35,50.26666666666667,30.333333333333336
36,50.33333333333333,30.333333333333336
37,50.6,30.333333333333336
38,50.73333333333333,30.333333333333336
39,50.93333333333333,30.333333333333336
40,51.0,30.333333333333336
41,51.13333333333333,30.333333333333336
42,51.33333333333333,30.333333333333336
43,51.26666666666667,30.333333333333336
44,51.4,30.333333333333336
45,51.4,30.333333333333336
46,51.46666666666667,30.333333333333336
47,51.53333333333333,30.333333333333336
48,51.66666666666667,30.666666666666664
49,51.66666666666667,30.333333333333336
