epoch,train_acc,test_acc
0,5.733333333333333,5.0
1,24.333333333333336,20.0
2,27.53333333333333,24.0
3,30.333333333333336,24.333333333333336
4,31.866666666666667,25.333333333333336
5,33.4,25.0
6,34.266666666666666,25.0
7,35.13333333333333,24.333333333333336
8,35.333333333333336,25.666666666666664
9,35.733333333333334,25.666666666666664
10,36.333333333333336,25.666666666666664
11,36.733333333333334,25.333333333333336
12,37.06666666666666,25.0
13,37.53333333333334,25.666666666666664
14,38.0,25.333333333333336
15,38.333333333333336,25.333333333333336
16,38.4,25.333333333333336
17,38.53333333333334,25.333333333333336
18,38.666666666666664,25.666666666666664
19,39.0,25.333333333333336
20,39.266666666666666,25.666666666666664
21,39.33333333333333,25.333333333333336
22,39.4,25.666666666666664
23,39.33333333333333,26.0
24,39.46666666666667,26.333333333333332
25,39.733333333333334,26.333333333333332
26,40.266666666666666,26.333333333333332
27,40.666666666666664,26.333333333333332
28,40.93333333333333,26.333333333333332
29,40.8,26.333333333333332
30,41.199999999999996,26.333333333333332
31,41.4,26.333333333333332
32,41.6,26.333333333333332
33,41.66666666666667,26.333333333333332
34,41.86666666666667,26.333333333333332
35,41.93333333333334,26.666666666666668
36,42.0,27.0
37,42.0,27.0
38,42.13333333333333,27.0
39,42.06666666666667,26.666666666666668
40,42.13333333333333,27.0
41,42.4,27.333333333333332
42,42.333333333333336,27.0
43,42.53333333333333,26.666666666666668
44,42.733333333333334,26.666666666666668
45,42.93333333333334,26.666666666666668
46,43.13333333333333,26.666666666666668
47,43.06666666666666,26.666666666666668
48,43.06666666666666,26.666666666666668
49,43.266666666666666,27.0
