epoch,train_acc,test_acc
0,5.333333333333334,6.666666666666667
1,9.133333333333333,10.0
2,11.333333333333332,10.666666666666668
3,14.133333333333335,12.0
4,15.466666666666667,13.333333333333334
5,16.8,15.0
6,17.2,17.0
7,17.866666666666667,17.333333333333336
8,17.866666666666667,17.333333333333336
9,17.733333333333334,17.333333333333336
10,18.133333333333333,18.333333333333332
11,18.133333333333333,18.0
12,18.2,19.0
13,18.333333333333332,19.0
14,18.2,19.666666666666664
15,18.2,19.333333333333332
16,18.333333333333332,19.333333333333332
17,18.46666666666667,19.666666666666664
18,18.666666666666668,19.333333333333332
19,18.73333333333333,19.333333333333332
20,18.866666666666667,19.333333333333332
21,19.0,19.333333333333332
22,19.26666666666667,19.666666666666664
23,19.333333333333332,19.666666666666664
24,19.400000000000002,19.0
25,19.26666666666667,19.0
26,19.333333333333332,19.0
27,19.400000000000002,19.666666666666664
28,19.333333333333332,19.333333333333332
29,19.53333333333333,19.333333333333332
30,19.666666666666664,19.333333333333332
31,19.666666666666664,19.666666666666664
32,19.8,20.0
33,19.733333333333334,20.0
34,19.866666666666667,20.666666666666668
35,19.933333333333334,20.666666666666668
36,19.933333333333334,20.666666666666668
37,19.866666666666667,20.666666666666668
38,19.933333333333334,20.666666666666668
39,20.266666666666666,20.666666666666668
40,20.333333333333332,20.333333333333332
41,20.333333333333332,20.333333333333332
42,20.4,20.666666666666668
43,20.466666666666665,20.333333333333332
44,20.533333333333335,20.333333333333332
45,20.466666666666665,20.333333333333332
46,20.599999999999998,20.333333333333332
47,20.533333333333335,20.333333333333332
48,20.599999999999998,20.333333333333332
49,20.599999999999998,20.333333333333332
