epoch,train_acc,test_acc
0,6.533333333333332,9.333333333333334
1,25.933333333333337,26.333333333333332
2,30.266666666666666,28.666666666666668
3,33.13333333333333,30.666666666666664
4,35.4,31.666666666666664
5,35.53333333333333,31.0
6,36.0,31.333333333333336
7,36.8,32.0
8,37.4,32.33333333333333
9,38.2,31.333333333333336
10,38.733333333333334,31.333333333333336
11,38.800000000000004,30.666666666666664
12,39.266666666666666,31.0
13,39.6,30.666666666666664
14,39.666666666666664,31.666666666666664
15,39.93333333333333,31.333333333333336
16,40.266666666666666,31.333333333333336
17,40.53333333333333,30.666666666666664
18,40.6,31.666666666666664
19,41.13333333333333,31.333333333333336
20,41.199999999999996,31.333333333333336
21,41.46666666666667,31.0
22,41.733333333333334,31.0
23,42.0,31.333333333333336
24,42.199999999999996,31.333333333333336
25,42.333333333333336,31.333333333333336
26,42.733333333333334,31.333333333333336
27,42.8,31.333333333333336
28,42.93333333333334,31.0
29,43.333333333333336,31.333333333333336
30,43.53333333333333,31.333333333333336
31,43.93333333333334,31.333333333333336
32,44.0,31.333333333333336
33,44.06666666666666,31.333333333333336
34,44.2,31.333333333333336
35,44.4,31.333333333333336
36,44.333333333333336,31.0
37,44.4,31.0
38,44.4,31.333333333333336
39,44.4,31.0
40,44.666666666666664,31.0
41,44.93333333333333,31.0
42,44.93333333333333,31.0
43,45.06666666666666,31.333333333333336
44,45.13333333333333,31.0
45,45.2,31.333333333333336
46,45.13333333333333,31.666666666666664
47,45.2,31.666666666666664
48,45.2,31.666666666666664
49,45.13333333333333,31.666666666666664
