epoch,train_acc,test_acc
0,5.333333333333334,5.0
1,11.933333333333334,12.0
2,17.599999999999998,15.666666666666668
3,18.8,17.666666666666668
4,20.333333333333332,20.333333333333332
5,21.066666666666666,20.666666666666668
6,21.4,20.333333333333332
7,21.6,20.0
8,21.53333333333333,20.333333333333332
9,21.8,20.333333333333332
10,21.866666666666667,20.333333333333332
11,22.066666666666666,20.333333333333332
12,22.133333333333333,20.333333333333332
13,22.400000000000002,20.0
14,22.333333333333332,20.333333333333332
15,22.53333333333333,20.666666666666668
16,22.53333333333333,21.0
17,22.866666666666667,20.666666666666668
18,22.933333333333334,20.666666666666668
19,23.133333333333333,20.333333333333332
20,23.400000000000002,20.666666666666668
21,23.599999999999998,21.0
22,23.533333333333335,21.0
23,23.733333333333334,21.0
24,24.0,21.0
25,24.066666666666666,21.0
26,24.2,21.0
27,24.333333333333336,21.333333333333336
28,24.4,21.333333333333336
29,24.6,21.333333333333336
30,24.73333333333333,22.0
31,24.73333333333333,22.0
32,25.0,22.0
33,25.0,22.333333333333332
34,25.2,22.333333333333332
35,25.266666666666666,22.333333333333332
36,25.333333333333336,22.0
37,25.4,22.0
38,25.533333333333335,22.0
39,25.6,22.333333333333332
40,25.6,22.666666666666664
41,25.733333333333334,22.666666666666664
42,25.866666666666667,22.666666666666664
43,26.066666666666666,22.666666666666664
44,26.333333333333332,22.666666666666664
45,26.53333333333333,22.666666666666664
46,26.6,22.666666666666664
47,26.666666666666668,22.666666666666664
48,26.8,22.666666666666664
49,26.8,22.666666666666664
